prime,"UnsaturatedSolinas x32 GallinaAxComputedOf with cbv (0) (real, s)","UnsaturatedSolinas x32 GallinaAxComputedOf with vm_compute (0) (real, s)","UnsaturatedSolinas x32 GallinaAxOf with cbv (0) (real, s)","UnsaturatedSolinas x32 GallinaAxOf with vm_compute (0) (real, s)","UnsaturatedSolinas x32 GallinaDefOf with cbv_no_rt (0) (real, s)","UnsaturatedSolinas x32 PipelineArithOf with cbv (0) (real, s)","UnsaturatedSolinas x32 PipelineArithOf with vm_compute (0) (real, s)","UnsaturatedSolinas x32 PipelineFlatArithOf with extraction OCaml (0) (real, s)","UnsaturatedSolinas x32 PipelineFlatNBEOf with extraction OCaml (0) (real, s)","UnsaturatedSolinas x32 PipelineFullOf with cbv (0) (real, s)","UnsaturatedSolinas x32 PipelineFullOf with vm_compute (0) (real, s)","UnsaturatedSolinas x32 PipelineFullToStringsOf with cbv (0) (real, s)","UnsaturatedSolinas x32 PipelineFullToStringsOf with extraction OCaml (0) (real, s)","UnsaturatedSolinas x32 PipelineFullToStringsOf with vm_compute (0) (real, s)","UnsaturatedSolinas x32 PipelineNBEOf with cbv (0) (real, s)","UnsaturatedSolinas x32 PipelineNBEOf with vm_compute (0) (real, s)","UnsaturatedSolinas x64 GallinaAxComputedOf with cbv (0) (real, s)","UnsaturatedSolinas x64 GallinaAxComputedOf with vm_compute (0) (real, s)","UnsaturatedSolinas x64 GallinaAxOf with cbv (0) (real, s)","UnsaturatedSolinas x64 GallinaAxOf with vm_compute (0) (real, s)","UnsaturatedSolinas x64 GallinaDefOf with cbv_no_rt (0) (real, s)","UnsaturatedSolinas x64 PipelineArithOf with cbv (0) (real, s)","UnsaturatedSolinas x64 PipelineArithOf with vm_compute (0) (real, s)","UnsaturatedSolinas x64 PipelineFlatArithOf with extraction OCaml (0) (real, s)","UnsaturatedSolinas x64 PipelineFlatNBEOf with extraction OCaml (0) (real, s)","UnsaturatedSolinas x64 PipelineFullOf with cbv (0) (real, s)","UnsaturatedSolinas x64 PipelineFullOf with vm_compute (0) (real, s)","UnsaturatedSolinas x64 PipelineFullToStringsOf with cbv (0) (real, s)","UnsaturatedSolinas x64 PipelineFullToStringsOf with extraction OCaml (0) (real, s)","UnsaturatedSolinas x64 PipelineFullToStringsOf with vm_compute (0) (real, s)","UnsaturatedSolinas x64 PipelineNBEOf with cbv (0) (real, s)","UnsaturatedSolinas x64 PipelineNBEOf with vm_compute (0) (real, s)","WordByWordMontgomery x32 GallinaAxOf with cbv (real, s)","WordByWordMontgomery x32 GallinaAxOf with vm_compute (real, s)","WordByWordMontgomery x32 GallinaDefOf with cbv_no_rt (real, s)","WordByWordMontgomery x32 PipelineArithOf with cbv (real, s)","WordByWordMontgomery x32 PipelineArithOf with vm_compute (real, s)","WordByWordMontgomery x32 PipelineFlatArithOf with extraction OCaml (real, s)","WordByWordMontgomery x32 PipelineFlatNBEOf with extraction OCaml (real, s)","WordByWordMontgomery x32 PipelineFullOf with cbv (real, s)","WordByWordMontgomery x32 PipelineFullOf with vm_compute (real, s)","WordByWordMontgomery x32 PipelineFullToStringsOf with cbv (real, s)","WordByWordMontgomery x32 PipelineFullToStringsOf with extraction OCaml (real, s)","WordByWordMontgomery x32 PipelineFullToStringsOf with vm_compute (real, s)","WordByWordMontgomery x32 PipelineNBEOf with cbv (real, s)","WordByWordMontgomery x32 PipelineNBEOf with vm_compute (real, s)","WordByWordMontgomery x64 GallinaAxComputedOf with cbv (real, s)","WordByWordMontgomery x64 GallinaAxComputedOf with vm_compute (real, s)","WordByWordMontgomery x64 GallinaAxOf with cbv (real, s)","WordByWordMontgomery x64 GallinaAxOf with vm_compute (real, s)","WordByWordMontgomery x64 GallinaDefOf with cbv_no_rt (real, s)","WordByWordMontgomery x64 PipelineArithOf with cbv (real, s)","WordByWordMontgomery x64 PipelineArithOf with vm_compute (real, s)","WordByWordMontgomery x64 PipelineFlatArithOf with extraction OCaml (real, s)","WordByWordMontgomery x64 PipelineFlatNBEOf with extraction OCaml (real, s)","WordByWordMontgomery x64 PipelineFullOf with cbv (real, s)","WordByWordMontgomery x64 PipelineFullOf with vm_compute (real, s)","WordByWordMontgomery x64 PipelineFullToStringsOf with cbv (real, s)","WordByWordMontgomery x64 PipelineFullToStringsOf with extraction OCaml (real, s)","WordByWordMontgomery x64 PipelineFullToStringsOf with vm_compute (real, s)","WordByWordMontgomery x64 PipelineNBEOf with cbv (real, s)","WordByWordMontgomery x64 PipelineNBEOf with vm_compute (real, s)"
46768052394588893382517914646921056628989841375207,3.68,0.355,2.674,0.106,2.589,7.073,0.375,0.032315,0.031618,9.881,0.514,13.245,0.065307,0.645,8.374,0.415,0.619,0.168,0.504,0.018,0.424,1.28,0.083,0.007432,0.007388,1.897,0.103,2.591,0.018578,0.151,1.347,0.096,31.022,1.437,30.923,,,0.567380,0.463970,,,,0.977627,,,,4.683,0.483,3.116,0.139,3.14,7.362,0.438,0.040500,0.037590,9.85,0.531,10.551,0.087113,0.586,9.417,0.439
93536104789177786765035829293842113257979682750459,3.689,0.368,2.661,0.107,2.517,6.965,0.365,0.031731,0.030113,9.936,0.513,13.372,0.061446,0.641,8.119,0.388,0.652,0.164,0.517,0.018,0.436,1.322,0.1,0.007733,0.008601,1.952,0.104,2.648,0.021414,0.153,1.395,0.084,32.868,1.427,32.62,,,0.557492,0.449813,,,,0.863326,,,,4.773,0.461,3.266,0.139,3.267,7.303,0.435,0.046400,0.044747,9.734,0.542,10.457,0.146918,0.598,9.153,0.417
2993155353253689176481146537402947624255349848014829,4.053,0.356,2.891,0.113,2.77,7.242,0.396,0.032555,0.032105,10.161,0.524,13.76,0.074529,0.655,8.41,0.42,0.68,0.166,0.542,0.019,0.45,1.336,0.084,0.007102,0.007272,1.95,0.104,2.655,0.017981,0.155,1.399,0.096,32.961,1.426,31.056,,,0.527242,0.443877,,,,1.036908,,,,4.731,0.472,3.129,0.139,3.128,7.264,0.439,0.042144,0.042770,9.792,0.543,10.532,0.118208,0.556,9.455,0.44
23945242826029513411849172299223580994042798784118767,3.987,0.378,2.882,0.12,2.839,7.26,0.391,0.034375,0.034052,10.298,0.53,13.861,0.069032,0.634,8.562,0.422,0.676,0.175,0.554,0.02,0.471,,,0.011766,0.012122,,,,0.034339,,,,33.234,1.432,32.529,,,0.521885,0.465171,,,,0.989435,,,,4.812,0.453,3.201,0.139,3.153,7.3,0.399,0.046779,0.046795,9.743,0.553,10.73,0.146572,0.592,9.247,0.457
23945242826029513411849172299223580994042798784118781,3.95,0.371,2.986,0.117,2.842,7.229,0.401,0.035181,0.038034,10.351,0.529,14.068,0.098207,0.666,8.339,0.394,0.674,0.174,0.55,0.019,0.462,1.314,0.087,0.006541,0.006046,2.01,0.106,2.749,0.015726,0.145,1.386,0.096,31.199,1.423,30.992,,,0.530047,0.459051,,,,0.918467,,,,4.815,0.464,3.27,0.139,3.139,7.216,0.402,0.040895,0.036165,9.833,0.544,10.761,0.082422,0.56,9.204,0.444
784637716923335095479473677900958302012794430558004314087,6.264,0.495,4.558,0.183,4.312,10.389,0.554,0.048452,0.044233,15.184,0.752,20.409,0.094641,0.927,12.674,0.551,1.415,0.215,1.076,0.04,0.992,2.451,0.134,0.011657,0.011104,3.537,0.209,4.902,0.025479,0.231,2.726,0.137,31.377,1.412,31.217,,,0.478357,0.425388,,,,0.816000,,,,4.942,0.467,3.384,0.14,3.308,7.358,0.432,0.040256,0.035268,9.833,0.544,10.683,0.080533,0.561,9.524,0.422
1569275433846670190958947355801916604025588861116008628213,6.246,0.483,4.469,0.184,4.585,10.468,0.527,0.045163,0.044995,15.446,0.751,20.924,0.092784,0.925,12.261,0.581,1.412,0.216,1.111,0.04,0.962,2.419,0.132,0.011597,0.010614,3.514,0.202,4.917,0.025457,0.231,2.776,0.126,32.95,1.423,33.12,,,0.490518,0.417794,,,,0.833869,,,,4.818,0.485,3.176,0.14,3.171,7.335,0.433,0.038352,0.034602,9.947,0.55,10.739,0.081802,0.599,9.426,0.442
3138550867693340381917894711603833208051177722232017256429,6.37,0.492,4.487,0.186,4.384,10.628,0.569,0.047878,0.045895,15.387,0.757,20.624,0.095387,0.934,12.705,0.574,1.503,0.21,1.088,0.043,0.96,2.473,0.125,0.010577,0.011452,3.576,0.2,5.051,0.026160,0.247,2.713,0.135,33.35,1.448,32.921,,,0.494741,0.425606,,,,0.950450,,,,4.886,0.493,3.385,0.139,3.171,7.312,0.415,0.044986,0.041224,9.949,0.553,10.711,0.129048,0.566,9.12,0.456
6277101735386680763835789423207666416083908700390324961279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.539956,0.412934,,,,0.956568,,,,,,,,,,,0.047665,0.045749,,,,0.150771,,,
25108406941546723055343157692830665664409421777856138051551,6.781,0.478,4.694,0.191,4.477,10.636,0.546,0.049759,0.048090,15.542,0.744,21.157,0.112584,0.959,12.472,0.578,1.506,0.201,1.107,0.041,1.034,2.433,0.142,0.011384,0.011005,3.656,0.206,5.072,0.026273,0.237,2.663,0.14,76.051,3.127,71.751,,,0.990342,0.815973,,,,1.579654,,,,,,14.006,0.57,13.665,25.828,1.294,0.124273,0.115557,30.214,1.549,31.844,0.225543,1.649,34.288,1.387
100433627766186892221372630771322662657637687111424552206321,6.7,0.474,5.064,0.196,4.637,10.637,0.57,0.046960,0.045751,15.665,0.746,20.834,0.097161,0.961,12.843,0.583,1.467,0.219,1.141,0.042,1.052,2.492,0.127,0.012702,0.012812,3.646,0.211,5.049,0.031644,0.246,2.769,0.144,72.078,3.145,76.429,,,1.077084,0.927199,,,,1.791082,,,,,,13.78,0.57,13.692,25.657,1.292,0.127444,0.109945,30.299,1.543,32.054,0.229701,1.643,34.193,1.409
401734511064747568885490523085290650630550748445698208825327,6.968,0.483,4.758,0.196,4.791,10.731,0.575,0.049050,0.046950,15.717,0.752,21.179,0.095365,0.97,12.901,0.549,1.516,0.227,1.124,0.043,1.026,2.513,0.143,0.012068,0.011358,3.721,0.215,5.23,0.027353,0.253,2.803,0.147,72.115,3.157,72.867,,,1.005257,0.833894,,,,1.616978,,,,,,14.572,0.57,13.634,25.752,1.264,0.128597,0.109301,30.687,1.542,32.044,0.237627,1.644,33.985,1.378
33343964418374048217495713416079124002335712120992951332503551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.066831,0.884496,,,,1.845314,,,,,,,,,,,0.124459,0.107833,,,,0.286347,,,
102844034832575377634685573909834406561420991602098741459288059,7.155,0.524,5.07,0.235,5.38,11.452,0.553,0.046089,0.045358,16.508,0.765,22.827,0.094493,0.995,13.489,0.597,1.702,0.217,1.226,0.046,1.161,2.612,0.147,0.012739,0.012490,3.857,0.219,5.394,0.028412,0.255,2.888,0.136,76.556,3.144,72.775,,,0.967947,0.826329,,,,1.704319,,,,,,13.764,0.569,13.739,25.76,1.305,0.127362,0.114476,30.738,1.553,32.067,0.231317,1.615,34.125,1.36
6582018229284824168619876730229402019930943462534319453394436067,9.9,0.663,7.526,0.312,7.12,15.536,0.776,0.070138,0.065009,22.273,1.045,30.805,0.149682,1.342,19.169,0.794,1.673,0.227,1.28,0.048,1.162,2.641,0.145,0.012231,0.011999,4.006,0.222,5.605,0.026919,0.263,2.933,0.142,77.088,3.177,73.04,,,0.976457,0.806604,,,,1.524377,,,,,,14.601,0.573,13.664,26.481,1.269,0.133269,0.119816,30.647,1.556,32.25,0.333402,1.648,34.532,1.342
13164036458569648337239753460458804039861886925068638906788872189,7.57,0.544,5.891,0.245,5.824,11.754,0.565,0.046767,0.046492,17.01,0.804,23.094,0.096900,0.986,13.739,0.576,1.733,0.234,1.356,0.049,1.18,2.662,0.138,0.017587,0.019010,4.02,0.226,5.7,0.048013,0.263,2.919,0.138,76.757,3.157,77.151,,,1.024907,0.828324,,,,1.562128,,,,,,13.819,0.572,13.713,26.187,1.316,0.137954,0.116254,30.92,1.554,32.243,0.329523,1.638,33.323,1.401
105312291668557186697918027683670107800341436973822328098290401279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.020817,0.896860,,,,1.775305,,,,,,,,,,,0.130657,0.117469,,,,0.308993,,,
3369993333393829974333376885877453834204643052817571560137951281149,10.583,0.69,7.889,0.34,7.603,16.15,0.79,0.070358,0.066906,23.305,1.061,32.382,0.143046,1.393,19.54,0.835,1.915,0.228,1.314,0.053,1.258,2.775,0.15,0.019767,0.020366,4.237,0.231,5.963,0.055642,0.272,2.959,0.139,76.744,3.139,72.987,,,1.008761,0.812555,,,,1.609431,,,,,,14.657,0.575,13.716,26.554,1.281,0.132014,0.111511,30.54,1.523,32.024,0.304242,1.617,34.485,1.374
6739986666787659948666753771754907668409286105635143120275902562187,11.053,0.671,7.682,0.343,8.263,16.22,0.781,0.069187,0.069315,23.227,1.076,32.205,0.143159,1.397,19.62,0.798,1.837,0.238,1.422,0.053,1.266,2.743,0.154,0.017930,0.020426,4.213,0.23,5.992,0.053198,0.276,2.978,0.149,72.745,3.132,73.195,,,1.054503,0.881784,,,,1.859605,,,,,,13.901,0.574,13.781,26.631,1.285,0.133561,0.117798,30.754,1.554,32.312,0.297958,1.662,33.402,1.341
26959946667150639794667015087019630673557916260026308143510066298881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.971634,0.820366,,,,1.621866,,,,,,,,,,,0.125512,0.112661,,,,0.295569,,,
107839786668602559178668060348078522694548577690162289924414440996859,11.051,0.689,8.286,0.33,7.952,16.506,0.804,0.068159,0.065934,23.971,1.053,33.055,0.152662,1.397,19.988,0.827,1.883,0.243,1.411,0.054,1.314,2.829,0.165,0.017915,0.019242,4.352,0.232,6.135,0.053357,0.28,3.091,0.151,150.592,6.272,158.347,,,2.042836,1.665466,,,,3.142867,,,,,,13.889,0.571,14.016,26.945,1.334,0.129074,0.116436,31.495,1.556,32.928,0.254337,1.661,34.496,1.355
1725436586697640946858688965569256363112777243042596638790631055949797,11.476,0.726,8.776,0.34,8.118,16.646,0.813,0.070774,0.069116,24.957,1.098,34.049,0.147384,1.415,20.413,0.873,1.954,0.241,1.472,0.056,1.442,2.895,0.154,0.020149,0.020602,4.47,0.234,6.332,0.057367,0.285,3.148,0.151,161.21,6.334,149.537,,,2.098672,1.791078,,,,3.180592,,,,,,14.71,0.571,13.798,27.337,1.293,0.133859,0.117137,31.144,1.526,32.732,0.322483,1.658,34.711,1.348
55213970774324510299478046898216203619608871777363092441300193790394353,12.084,0.742,9.118,0.359,8.554,17.172,0.812,0.070274,0.072699,26.118,1.131,35.963,0.147715,1.471,20.311,0.87,2.005,0.248,1.528,0.058,1.422,2.952,0.146,0.018842,0.019404,4.546,0.239,6.501,0.053288,0.276,3.202,0.144,159.423,6.325,159.003,,,2.130191,1.723897,,,,3.214401,,,,,,14.731,0.573,13.774,26.933,1.313,0.128514,0.118564,31.046,1.527,32.535,0.287186,1.688,35.568,1.341
14134776518227074636666380005943348126619871175004951664972849610340958199,12.209,0.758,9.245,0.373,8.908,17.242,0.819,0.074444,0.072979,26.556,1.126,36.232,0.148116,1.456,21.131,0.877,3.616,0.306,2.597,0.099,2.403,4.687,0.244,0.026984,0.027379,7.208,0.357,10.223,0.080022,0.432,5.195,0.229,156.42,6.281,149.985,,,1.810819,1.623079,,,,2.884782,,,,,,14.666,0.62,14.466,26.906,1.292,0.146622,0.115237,31.096,1.555,33.033,0.332558,1.66,35.844,1.376
3618502788666131106986593281521497120414687020801267626233049500247285301239,17.849,0.963,13.144,0.512,12.332,23.733,1.108,0.099967,0.096691,35.699,1.521,49.363,0.202151,2.028,28.494,1.156,3.617,0.32,2.741,0.104,2.54,4.84,0.245,0.026912,0.028626,7.604,0.369,10.826,0.082729,0.446,5.272,0.252,151.581,6.401,150.254,,,2.104937,1.653062,,,,3.144801,,,,,,14.011,0.627,13.758,27.169,1.263,0.137728,0.115925,31.125,1.562,32.479,0.333083,1.674,34.865,1.357
28723632732102194046035667469577626311807405711506937402182952014414119698431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.148968,1.772784,,,,3.311043,,,,,,,,,,,0.145244,0.113788,,,,0.318434,,,
57896044618658097711785492504343953926634992332820282019728792003956564819203,21.831,1.219,16.108,0.662,15.94,30.371,1.394,0.123153,0.118405,46.973,1.942,66.365,0.255990,2.522,37.38,1.475,3.699,0.324,2.662,0.106,2.738,4.89,0.235,0.025827,0.028878,7.775,0.374,11.098,0.077982,0.445,5.369,0.237,151.32,6.363,149.588,,,2.131545,1.716070,,,,3.209143,,,,,,13.977,0.616,13.927,26.425,1.293,0.124525,0.110083,30.976,1.572,32.61,0.297080,1.83,35.218,1.343
57896044618658097711785492504343953926634992332820282019728792003956564819949,17.994,0.978,13.643,0.523,12.599,24.042,1.095,0.096575,0.093320,35.853,1.537,49.93,0.195570,2.025,29.154,1.166,3.678,0.33,2.693,0.107,2.6,4.916,0.241,0.027267,0.033752,7.709,0.372,10.964,0.082950,0.446,5.366,0.265,150.82,6.378,149.853,,,2.095304,1.750401,,,,3.126440,,,,,,14.125,0.625,13.957,26.962,1.459,0.133208,0.116358,31.07,1.576,32.746,0.329521,1.697,35.189,1.355
115636606695615697602567654828622531023877166082715509571142882662199379099647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.934059,1.525862,,,,2.851115,,,,,,,,,,,0.118193,0.107285,,,,0.221854,,,
115792089210356248762697446949407573530086143415290314195533631308867097853951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.993639,1.775833,,,,3.339333,,,,,,,,,,,0.127238,0.112899,,,,0.293506,,,
